ID,feed_type,feed_shape,feed_particle_size,feed_LHV,C,H,N,S,O,feed_ash,feed_moisture,feed_VM,feed_FC,feed_cellulose,feed_hemicellulose,feed_lignin,temperature,operating_condition,operating_pressure,residence_time,steam_biomass_ratio,ER,gasifying_agent,reactor_type,bed_material,catalyst,scale,N2,H2,CO,CO2,CH4,C2Hn,gas_LHV,gas_tar,gas_yield,char_yield,CGE,CCE,Reference
48,woody biomass,dust,0.38,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,850,continuous,atmospheric,NaN,2.7,0.22,air + steam,fluidised bed,silica,0,lab,1,36.5,34,18.5,7.5,2.5,8.22,NaN,2.45,NaN,106.16,92.35,"Lv, Bioresource Technology 2004, 95, 95-101"
49,woody biomass,dust,0.38,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,900,continuous,atmospheric,NaN,2.7,0.22,air + steam,fluidised bed,silica,0,lab,1,39,33.5,19,6.5,1,7.36,NaN,2.53,NaN,98.14,92.59,"Lv, Bioresource Technology 2004, 95, 95-101"
50,woody biomass,dust,0.38,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,800,continuous,atmospheric,NaN,1.56,0.19,air + steam,fluidised bed,silica,0,lab,1.5,32.5,37.5,17.75,7.75,3,8.82,NaN,2.13,NaN,98.96,76.26,"Lv, Bioresource Technology 2004, 95, 95-101"
51,woody biomass,dust,0.38,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,800,continuous,atmospheric,NaN,1.56,0.21,air + steam,fluidised bed,silica,0,lab,0.75,32,39,17.5,7.75,3,8.84,NaN,2.25,NaN,104.79,84.49,"Lv, Bioresource Technology 2004, 95, 95-101"
52,woody biomass,dust,0.38,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,800,continuous,atmospheric,NaN,1.56,0.23,air + steam,fluidised bed,silica,0,lab,0,32,40,17.5,7.5,3,8.71,NaN,2.37,NaN,108.75,90.6,"Lv, Bioresource Technology 2004, 95, 95-101"
53,woody biomass,dust,0.38,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,800,continuous,atmospheric,NaN,1.56,0.25,air + steam,fluidised bed,silica,0,lab,0.5,32,39,18.25,7.5,2.75,8.16,NaN,2.18,NaN,93.78,84,"Lv, Bioresource Technology 2004, 95, 95-101"
54,woody biomass,dust,0.38,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,800,continuous,atmospheric,NaN,1.56,0.27,air + steam,fluidised bed,silica,0,lab,0.5,32.5,37.5,19.75,7.25,2.5,7.28,NaN,1.88,NaN,72.09,70.6,"Lv, Bioresource Technology 2004, 95, 95-101"
55,woody biomass,dust,0.38,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,800,continuous,atmospheric,NaN,0,0.22,air + steam,fluidised bed,silica,0,lab,0,33,43,16,6,2,6.74,NaN,1.46,NaN,51.86,68.67,"Lv, Bioresource Technology 2004, 95, 95-101"
56,woody biomass,dust,0.38,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,800,continuous,atmospheric,NaN,1.35,0.22,air + steam,fluidised bed,silica,0,lab,1.25,30,40.5,17,8,3.25,9.14,NaN,2.39,NaN,115.14,92.09,"Lv, Bioresource Technology 2004, 95, 95-101"
57,woody biomass,dust,0.38,18.98,50.82,7.12,0.15,0.57,41.34,0.55,8,82.29,17.16,NaN,NaN,NaN,800,continuous,atmospheric,NaN,2.02,0.22,air + steam,fluidised bed,silica,0,lab,1.75,31,39,17.5,7.75,3,8.91,NaN,2.34,NaN,109.8,88.7,"Lv, Bioresource Technology 2004, 95, 95-101"
