ID	feed_type	feed_shape	feed_particle_size	feed_LHV	C	H	N	S	O	feed_ash	feed_moisture	feed_VM	feed_FC	feed_cellulose	feed_hemicellulose	feed_lignin	temperature	operating_condition	operating_pressure	residence_time	steam_biomass_ratio	ER	gasifying_agent	reactor_type	bed_material	catalyst	scale	N2	H2	CO	CO2	CH4	C2Hn	gas_LHV	gas_tar	gas_yield	char_yield	CGE	CCE	Reference
57	woody biomass	dust	0.38	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	800.00	continuous	atmospheric	NaN	2.02	0.22	air + steam	fluidised bed	silica	0.00	lab	1.75	31.00	39.00	17.50	7.75	3.00	8.91	NaN	2.34	NaN	109.80	88.70	"Lv, Bioresource Technology 2004, 95, 95-101"
58	woody biomass	dust	0.38	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	800.00	continuous	atmospheric	NaN	2.70	0.22	air + steam	fluidised bed	silica	0.00	lab	1.00	32.50	37.50	18.50	7.50	3.00	8.56	NaN	2.23	NaN	100.58	85.90	"Lv, Bioresource Technology 2004, 95, 95-101"
59	woody biomass	dust	0.38	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	800.00	continuous	atmospheric	NaN	4.04	0.22	air + steam	fluidised bed	silica	0.00	lab	0.50	32.50	37.50	19.00	7.50	3.00	8.10	NaN	1.95	NaN	83.23	75.10	"Lv, Bioresource Technology 2004, 95, 95-101"
60	woody biomass	dust	0.75	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	800.00	continuous	atmospheric	NaN	1.56	0.23	air + steam	fluidised bed	silica	0.00	lab	0.00	32.25	37.50	21.25	6.50	2.50	6.98	NaN	1.53	NaN	56.24	77.62	"Lv, Bioresource Technology 2004, 95, 95-101"
61	woody biomass	dust	0.53	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	800.00	continuous	atmospheric	NaN	1.56	0.23	air + steam	fluidised bed	silica	0.00	lab	0.25	32.25	37.50	19.50	7.50	3.00	7.94	NaN	1.93	NaN	80.72	84.40	"Lv, Bioresource Technology 2004, 95, 95-101"
62	woody biomass	dust	0.38	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	800.00	continuous	atmospheric	NaN	1.56	0.23	air + steam	fluidised bed	silica	0.00	lab	0.25	32.25	40.00	17.00	7.50	3.00	8.71	NaN	2.37	NaN	108.75	90.60	"Lv, Bioresource Technology 2004, 95, 95-101"
63	woody biomass	dust	0.25	18.98	50.82	7.12	0.15	0.57	41.34	0.55	8.00	82.29	17.16	NaN	NaN	NaN	800.00	continuous	atmospheric	NaN	1.56	0.23	air + steam	fluidised bed	silica	0.00	lab	0.25	30.50	41.00	17.00	7.75	3.50	8.74	NaN	2.57	NaN	118.32	95.10	"Lv, Bioresource Technology 2004, 95, 95-101"
64	sewage sludge	other	3.50	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	NaN	NaN	NaN	NaN	750.00	continuous	NaN	80.00	NaN	0.20	air	fluidised bed	silica	0.00	lab	60.90	9.80	7.20	14.20	3.70	2.60	3.40	17.30	0.97	44.48	28.62	54.00	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
65	sewage sludge	other	3.50	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	NaN	NaN	NaN	NaN	800.00	continuous	NaN	80.00	NaN	0.20	air	fluidised bed	silica	0.00	lab	52.20	14.00	10.70	13.60	4.90	3.20	4.80	14.10	1.02	35.56	42.53	67.30	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
66	sewage sludge	other	3.50	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	NaN	NaN	NaN	NaN	850.00	continuous	NaN	80.00	NaN	0.20	air	fluidised bed	silica	0.00	lab	47.70	16.40	12.60	13.00	5.70	3.30	5.60	10.20	1.02	36.23	49.62	72.80	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
67	sewage sludge	other	3.50	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	NaN	NaN	NaN	NaN	750.00	continuous	NaN	80.00	NaN	0.30	air	fluidised bed	silica	0.00	lab	65.10	7.60	6.90	14.10	2.70	2.10	2.80	11.80	1.27	44.99	31.01	66.20	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
68	sewage sludge	other	3.50	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	NaN	NaN	NaN	NaN	800.00	continuous	NaN	80.00	NaN	0.30	air	fluidised bed	silica	0.00	lab	60.80	10.40	8.00	14.10	3.00	2.20	3.30	7.60	1.27	28.53	36.55	71.30	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
