ID	Inputs																											Outputs												References
	Feedstock information				Ultimate Analysis					Proximate Analysis				Lignocellulosic Composition			Gasifier Conditions and Information											Gas Composition								Yield and Process Efficiency				
	Type	Shape	Particle size [mm]	LHV [MJ/kg wb]	C [%daf]	H [%daf]	N [%daf]	S [%daf]	O [%daf]	Ash [%db]	Moisture [%wb]	Volatile Matter [%db]	Fixed carbon  [%db]	Cellulose [%db]	Hemicellulose [%db]	Lignin [%db]	Temperature [°C]	Operation (Batch/Continuous)	Operating Pressure [kPa]	Residence time [min]	Steam/Biomass [wt/wt]	ER	Gasifying agent	Reactor Type	Bed material	Catalyst	Scale	N2 [vol.% db]	H2 [vol.% db]	CO [vol.% db]	CO2 [vol.% db]	CH4 [vol.% db]	C2Hn [vol.% db]	LHV [MJ/Nm3]	Tar [g/Nm3]	Gas yield [Nm3/kg wb]	Char yield [g/kg wb]	CGE [%] (wb)	CCE [%] (wb)	
280	gulmohar	chips	-	16.20	44.43	6.16	1.65	-	41.90	5.50	20.00	81.25	13.25	-	-	-	850.00	-	-	-	-	0.30	air	fixed-bed downdraft	-	-	-	51.50	17.50	18.00	11.50	1.35	-	4.65	-	-	-	-	-	"Dutta,Energy Procedia 2014, 54, 21-34"
281	neem	chips	-	19.53	45.10	6.00	1.70	-	41.50	5.60	5.00	81.75	12.65	-	-	-	850.00	-	-	-	-	0.30	air	fixed-bed downdraft	-	-	-	51.50	17.50	19.20	10.30	1.20	-	4.74	-	-	-	-	-	"Dutta,Energy Procedia 2014, 54, 21-34"
282	neem	chips	-	16.60	45.10	6.00	1.70	-	41.50	5.60	20.00	81.75	12.65	-	-	-	850.00	-	-	-	-	0.30	air	fixed-bed downdraft	-	-	-	50.50	18.20	18.50	11.00	1.35	-	4.78	-	-	-	-	-	"Dutta,Energy Procedia 2014, 54, 21-34"
283	dimaru	chips	-	18.76	44.85	5.98	1.65	-	41.84	5.80	5.00	82.00	12.20	-	-	-	850.00	-	-	-	-	0.30	air	fixed-bed downdraft	-	-	-	53.00	16.50	17.50	11.50	0.85	-	4.29	-	-	-	-	-	"Dutta,Energy Procedia 2014, 54, 21-34"
284	dimaru	chips	-	15.95	44.85	5.98	1.65	-	41.84	5.80	20.00	82.00	12.20	-	-	-	850.00	-	-	-	-	0.30	air	fixed-bed downdraft	-	-	-	52.50	17.00	17.00	12.00	0.95	-	4.32	-	-	-	-	-	"Dutta,Energy Procedia 2014, 54, 21-34"
285	sisham	chips	-	20.18	45.85	5.80	1.60	-	40.25	4.60	5.00	80.00	15.40	-	-	-	850.00	-	-	-	-	0.30	air	fixed-bed downdraft	-	-	-	49.10	18.00	20.20	11.00	1.20	-	4.92	-	-	-	-	-	"Dutta,Energy Procedia 2014, 54, 21-34"
286	sisham	chips	-	17.15	45.85	5.80	1.60	-	40.25	4.60	20.00	80.00	15.40	-	-	-	850.00	-	-	-	-	0.30	air	fixed-bed downdraft	-	-	-	48.90	19.00	19.00	11.40	1.30	-	4.92	-	-	-	-	-	"Dutta,Energy Procedia 2014, 54, 21-34"
287	pine sawdust	dust	0.5	16.98	42.50	6.30	0.20	-	51.00	1.31	8.50	84.59	14.10	-	-	-	780.00	continuous	slightly above atmospheric (1.1atm)	-	0.80		steam	fluidised bed	silica sand	-	bench-scale	0.00	51.50	22.00	17.00	7.00	2.50	12.00	20.55	1.32	58.70	93.19	72.52	"Herguido, Ind. Eng. Chem. Res. 1992, 31, 1274-1282"
288	pine sawdust	dust	0.5	16.98	42.50	6.30	0.20	-	51.00	1.31	8.50	84.59	14.10	-	-	-	750.00	continuous	slightly above atmospheric (1.1atm)	-	0.80		steam	fluidised bed	silica sand	-	bench-scale	0.00	55.00	20.00	15.00	6.00	4.00	12.40	26.92	1.17	99.33	85.74	57.53	"Herguido, Ind. Eng. Chem. Res. 1992, 31, 1274-1282"
289	pine sawdust	dust	0.5	16.98	42.50	6.30	0.20	-	51.00	1.31	8.50	84.59	14.10	-	-	-	700.00	continuous	slightly above atmospheric (1.1atm)	-	0.80		steam	fluidised bed	silica sand	-	bench-scale	0.00	57.50	22.00	12.00	6.00	2.50	12.60	38.46	0.94	139.97	69.70	44.60	"Herguido, Ind. Eng. Chem. Res. 1992, 31, 1274-1282"
290	pine sawdust	dust	0.5	16.98	42.50	6.30	0.20	-	51.00	1.31	8.50	84.59	14.10	-	-	-	650.00	continuous	slightly above atmospheric (1.1atm)	-	0.80		steam	fluidised bed	silica sand	-	bench-scale	0.00	50.50	27.50	11.00	8.00	3.00	13.20	76.62	0.70	198.66	54.06	38.15	"Herguido, Ind. Eng. Chem. Res. 1992, 31, 1274-1282"
291	cereal straw	particles	5	12.34	43.70	6.10	0.40	-	49.80	15.29	7.80	66.81	17.90	-	-	-	780.00	continuous	slightly above atmospheric (1.1atm)	-	0.80		steam	fluidised bed	silica sand	-	bench-scale	0.00	51.50	22.00	18.50	6.00	2.00	11.90	20.00	1.13	62.48	109.21	61.40	"Herguido, Ind. Eng. Chem. Res. 1992, 31, 1274-1282"
292	cereal straw	particles	5	12.34	43.70	6.10	0.40	-	49.80	15.29	7.80	66.81	17.90	-	-	-	750.00	continuous	slightly above atmospheric (1.1atm)	-	0.80		steam	fluidised bed	silica sand	-	bench-scale	0.00	49.00	23.00	17.50	6.00	4.50	12.40	33.07	0.99	85.91	99.67	53.66	"Herguido, Ind. Eng. Chem. Res. 1992, 31, 1274-1282"
293	cereal straw	particles	5	12.34	43.70	6.10	0.40	-	49.80	15.29	7.80	66.81	17.90	-	-	-	700.00	continuous	slightly above atmospheric (1.1atm)	-	0.80		steam	fluidised bed	silica sand	-	bench-scale	0.00	44.00	27.50	16.00	7.50	5.00	13.25	55.67	0.76	121.06	81.34	44.68	"Herguido, Ind. Eng. Chem. Res. 1992, 31, 1274-1282"
294	cereal straw	particles	5	12.34	43.70	6.10	0.40	-	49.80	15.29	7.80	66.81	17.90	-	-	-	650.00	continuous	slightly above atmospheric (1.1atm)	-	0.80		steam	fluidised bed	silica sand	-	bench-scale	0.00	37.00	34.00	16.50	8.50	4.00	13.75	101.43	0.55	175.73	60.92	37.17	"Herguido, Ind. Eng. Chem. Res. 1992, 31, 1274-1282"
295	pine wood chips	chips	2x5x10	16.06	41.80	5.30	0.20	-	52.70	2.36	11.10	83.69	13.95	-	-	-	780.00	continuous	slightly above atmospheric (1.1atm)	-	0.80		steam	fluidised bed	silica sand	-	bench-scale	0.00	51.50	22.00	17.00	7.00	2.50	12.55	32.17	1.00	173.60	78.01	55.83	"Herguido, Ind. Eng. Chem. Res. 1992, 31, 1274-1282"
296	pine wood chips	chips	2x5x10	16.06	41.80	5.30	0.20	-	52.70	2.36	11.10	83.69	13.95	-	-	-	750.00	continuous	slightly above atmospheric (1.1atm)	-	0.80		steam	fluidised bed	silica sand	-	bench-scale	0.00	51.50	22.00	18.00	6.00	2.50	12.60	48.51	0.88	190.96	68.79	49.13	"Herguido, Ind. Eng. Chem. Res. 1992, 31, 1274-1282"
297	pine wood chips	chips	2x5x10	16.06	41.80	5.30	0.20	-	52.70	2.36	11.10	83.69	13.95	-	-	-	700.00	continuous	slightly above atmospheric (1.1atm)	-	0.80		steam	fluidised bed	silica sand	-	bench-scale	0.00	46.00	20.00	21.00	9.00	4.00	13.00	73.75	0.69	195.30	56.22	42.44	"Herguido, Ind. Eng. Chem. Res. 1992, 31, 1274-1282"
298	pine wood chips	chips	2x5x10	16.06	41.80	5.30	0.20	-	52.70	2.36	11.10	83.69	13.95	-	-	-	650.00	continuous	slightly above atmospheric (1.1atm)	-	0.80		steam	fluidised bed	silica sand	-	bench-scale	0.00	38.00	27.50	20.00	9.00	5.50	13.30	103.03	0.57	203.98	47.45	39.29	"Herguido, Ind. Eng. Chem. Res. 1992, 31, 1274-1282"
299	thistles	non-uniform	-	12.30	40.80	5.50	0.30	-	53.40	15.11	10.00	67.44	17.44	-	-	-	780.00	continuous	slightly above atmospheric (1.1atm)	-	0.80		steam	fluidised bed	silica sand	-	bench-scale	0.00	51.50	22.00	18.50	7.00	1.00	11.70	35.71	0.86	137.52	81.39	50.73	"Herguido, Ind. Eng. Chem. Res. 1992, 31, 1274-1282"
300	thistles	non-uniform	-	12.30	40.80	5.50	0.30	-	53.40	15.11	10.00	67.44	17.44	-	-	-	750.00	continuous	slightly above atmospheric (1.1atm)	-	0.80		steam	fluidised bed	silica sand	-	bench-scale	0.00	53.00	18.00	18.50	6.00	4.50	12.10	44.66	0.79	145.16	77.41	41.93	"Herguido, Ind. Eng. Chem. Res. 1992, 31, 1274-1282"
301	thistles	non-uniform	-	12.30	40.80	5.50	0.30	-	53.40	15.11	10.00	67.44	17.44	-	-	-	700.00	continuous	slightly above atmospheric (1.1atm)	-	0.80		steam	fluidised bed	silica sand	-	bench-scale	0.00	53.00	17.50	18.00	9.00	2.50	12.40	68.35	0.60	164.26	60.84	33.59	"Herguido, Ind. Eng. Chem. Res. 1992, 31, 1274-1282"
302	thistles	non-uniform	-	12.30	40.80	5.50	0.30	-	53.40	15.11	10.00	67.44	17.44	-	-	-	650.00	continuous	slightly above atmospheric (1.1atm)	-	0.80		steam	fluidised bed	silica sand	-	bench-scale	0.00	41.50	24.50	21.50	9.00	3.50	13.10	86.30	0.56	221.56	59.40	38.30	"Herguido, Ind. Eng. Chem. Res. 1992, 31, 1274-1282"
303	wood residue	particles	1.75	18.54	50.26	6.72	0.16	0.20	42.66	0.36	5.01	81.81	17.83	43.50	19.50	33.00	700.00	batch	-	40.00	1.00	-	steam	fluidised bed	silica sand	-	laboratory scale	0.00	51.00	19.00	17.00	13.00	0.00	10.83	17.50	1.32	-	77.12	65.31	"Fremaux, Energy Convers. Manag. 2015, 91, 427-432"
304	wood residue	particles	1.75	18.54	50.26	6.72	0.16	0.20	42.66	0.36	5.01	81.81	17.83	43.50	19.50	33.00	800.00	batch	-	40.00	1.00	-	steam	fluidised bed	silica sand	-	laboratory scale	0.00	51.00	-	-	-	-	13.45	15.50	1.55	-	112.47	-	"Fremaux, Energy Convers. Manag. 2015, 91, 427-433"
305	wood residue	particles	1.75	18.54	50.26	6.72	0.16	0.20	42.66	0.36	5.01	81.81	17.83	43.50	19.50	33.00	900.00	batch	-	40.00	1.00	-	steam	fluidised bed	silica sand	-	laboratory scale	0.00	59.00	-	-	-	-	13.72	12.50	1.66	-	122.87	-	"Fremaux, Energy Convers. Manag. 2015, 91, 427-434"
306	wood residue	particles	1.75	18.54	50.26	6.72	0.16	0.20	42.66	0.36	5.01	81.81	17.83	43.50	19.50	33.00	900.00	batch	-	40.00	0.50	-	steam	fluidised bed	silica sand	-	laboratory scale	0.00	58.00	-	-	-	-	13.12	15.00	1.36	-	96.26	-	"Fremaux, Energy Convers. Manag. 2015, 91, 427-435"
307	pine wood	pellets	-	18.60	51.30	5.81	0.20	0.10	42.60	0.43	8.00	84.13	15.43	-	-	-	700.00	continuous	-	-	-	-	steam	dual fluidised bed	silica sand	-	100 kW	0.00	22.50	40.50	18.50	14.00	-	12.57	12.70	0.49	-	33.42	35.36	"Zhang, Fuel 2017, 188, 628-635"
308	pine wood	pellets	-	18.60	51.30	5.81	0.20	0.10	42.60	0.43	8.00	84.13	15.43	-	-	-	750.00	continuous	-	-	-	-	steam	dual fluidised bed	silica sand	-	100 kW	0.00	25.00	40.00	16.00	14.00	-	12.77	11.90	0.51	-	35.22	35.08	"Zhang, Fuel 2017, 188, 628-636"
309	pine wood	pellets	-	18.60	51.30	5.81	0.20	0.10	42.60	0.43	8.00	84.13	15.43	-	-	-	800.00	continuous	-	-	-	-	steam	dual fluidised bed	silica sand	-	100 kW	0.00	25.50	42.50	13.00	13.50	-	12.96	10.40	0.59	-	41.05	39.54	"Zhang, Fuel 2017, 188, 628-637"
310	palm shells	particles	15	16.28	48.30	5.50	0.60	0.01	38.10	7.50	0.00	71.00	21.50	-	-	-	850.00	continuous	-	6.00	0.60	-	steam	rotary kiln	-	-	pilot-scale	0.00	40.40	24.10	21.70	12.20	1.70	12.79	-	0.74	219.00	58.47	45.47	"Iovane, BIOMASS BIOENERG 2013, 56, 423-431"
311	palm shells	particles	15	16.28	48.30	5.50	0.60	0.01	38.10	7.50	0.00	71.00	21.50	-	-	-	850.00	continuous	-	6.00	0.70	-	steam	rotary kiln	-	-	pilot-scale	0.00	39.40	23.50	23.10	11.30	2.70	12.88	-	0.72	217.00	56.93	44.00	"Iovane, BIOMASS BIOENERG 2013, 56, 423-431"
312	palm shells	particles	15	16.28	48.30	5.50	0.60	0.01	38.10	7.50	0.00	71.00	21.50	-	-	-	850.00	continuous	-	6.00	1.00	-	steam	rotary kiln	-	-	pilot-scale	0.00	52.20	22.10	19.50	6.00	0.20	10.69	-	0.86	212.00	56.66	43.38	"Iovane, BIOMASS BIOENERG 2013, 56, 423-431"
